空间环境特征_Place_Name,空间环境特征_Spatial_Features_Natural
锦绣江山花园,
中山码头; 浦口码头,长江; 日落; 春天
下关滨江; 江豚观赏地,长江; 江面; 落日; 天空; 风
浦口火车站,
长江大桥玻璃栈道,日落; 长江
中山码头,
南京北站; 浦口火车站; 浦口码头,
下关市区; 桃源码头; 大理古城; 才村码头; 龙龛码头; 双廊; 苍洱大道; 磻溪村; 廊桥; 喜洲古镇; 周城; 双廊古镇; 鹿卧山; 小普陀; 文笔村; 理想邦; 兴盛大桥,洱海; 日出; 日落; 海风; 海岸悬崖; 海鸥
南京西站,
下关火车主题公园,芦苇; 碎石子; 轮船（江上）; 江面; 落日; 江水; 风
南京长江大桥; 下关火车主题公园; 桥头堡公园,长江
浦口火车站; 南京北站; 中山码头; 浦口码头; 中山停灵台,
下关西火车主题街区,长江; 江景
民国首都电厂旧址公园; 中山码头,长江
,
,
扬子江生态公园; 浦口码头; 长江大桥,长江; 天气; 风; 蓝天
下关火车公园,长江
中山码头; 浦口码头; 大马路,
长江大桥; 大桥南堡公园; 玻璃栈道; 中山码头,长江; 江风
浦口火车站,
长江大桥; 江豚观赏地; 下关火车主题公园; 铁路轮渡旧址,长江; 江豚; 芦苇; 石堆
浦口火车站; 民国首都电厂旧址公园,
中山码头; 浦口码头; 扬子江生态公园; 阅江楼; 长江大桥; 浦口站旧址,长江; 江面; 落日; 天空; 云; 梧桐树
中山码头; 民国首都电厂旧址公园; 民国海军医院旧址,长江; 金川河
滨河公园; 新河街; 鱼嘴湿地公园,江岸
下关火车主题公园,芦苇; 江风; 夕阳
南京滨江公园,长江; 江面; 落日; 天空
下关火车主题公园,落日; 江面; 风
浦口火车站; 民国首都电厂旧址公园,
无法判断,无法判断
安乐巷27号; 朱自清故居; 浦口火车站,
长江大桥,长江; 日落; 江风
ITC MALL,夕阳
龙虎巷; 浦口火车站,绿化带
浦口火车站; 南京长江大桥; 浦口公园,
南京长江大桥,
下关; 中山码头; 南京西站; 大马路; 民国首都电厂旧址公园; 阅江楼; 秦淮河入江口; 和记洋行; 下关火车主题公园; 渡江胜利纪念馆; 南京下关历史陈列馆,长江; 秦淮河; 江面; 滨江岸线
浦口码头; 南京北站; 江北新区,
下关火车主题公园,
长江大桥,长江; 江水; 天空
